,Artist,NumAlbums,YearFirstAlbum,Gender,Group.Solo
0,Ed Sheeran,8,2011,M,Solo
1,Justin Bieber,10,2009,M,Solo
2,Jonas Brothers,10,2006,M,Group
3,Drake,11,2010,M,Solo
4,Chris Brown,6,2005,M,Solo
5,Taylor Swift,10,2006,F,Solo
6,Blake Shelton,12,2001,M,Solo
7,Nicki Minaj,10,2010,F,Solo
8,Panic! At The Disco,8,2005,M,Group
9,Lee Brice,4,2010,M,Solo
10,Katy Perry,7,2008,F,Solo
11,Young Thug,17,2011,M,Solo
12,J. Cole,9,2009,M,Solo
13,Daddy Yankee,9,2002,M,Solo
14,Migos,13,2011,M,Group
15,Meek Mill,32,2011,M,Solo
16,Lady Gaga,9,2008,F,Solo
17,Tyler The Creator,6,2011,M,Solo
18,YG,11,2011,M,Solo
19,DJ Khaled,10,2007,M,Solo
20,Luke Bryan,10,2007,M,Solo
21,P!nk,8,2000,F,Solo
22,Bruno Mars,3,2010,M,Solo
23,Eric Church,13,2006,M,Solo
24,Jason Aldean,8,2005,M,Solo
25,Gucci Mane,132,2005,M,Solo
26,Beyonce,12,2003,F,Solo
27,Chris Young,8,2006,M,Solo
28,Eli Young Band,7,2005,M,Group
29,Pedro Capo,4,2007,M,Solo
30,Justin Moore,6,2009,M,Solo
31,Nicky Jam,8,2001,M,Solo
32,Nipsey Hussle,19,2009,M,Solo
33,Yo Gotti,28,2006,M,Solo
34,Cody Johnson,6,2009,M,Solo
35,Miley Cyrus,9,2007,F,Solo
36,Maroon 5,11,2002,M,Group
37,Lady Antebellum,9,2008,,Group
38,2 Chainz,17,2010,M,Solo
39,Ellie Goulding,5,2010,F,Solo
40,Diplo,8,2004,M,Solo
41,ScHoolboy Q,7,2011,M,Solo
42,French Montana,16,2007,M,Solo
43,Scotty McCreery,6,2011,M,Solo
44,Five Finger Death Punch,14,2007,M,Group
45,Aventura,9,1999,M,Group
46,Jake Owen,6,2006,M,Solo
47,Carrie Underwood,6,2005,F,Solo
48,Mark Ronson,5,2003,M,Solo
49,John Mayer,15,1999,M,Solo
50,Gesaffelstein,3,2011,M,Solo
51,Lil Wayne,25,1999,M,Solo
52,Dierks Bentley,11,2003,M,Solo
53,Hikaru Utada,8,1999,F,Solo
54,Eminem,12,1999,M,Solo
55,Mariah Carey,16,1990,F,Solo
56,Bobby Helms,21,1957,M,Solo
57,Brenda Lee,30,1959,F,Solo
58,Burl Ives,55,1949,M,Solo
59,Nat King Cole,67,1954,M,Solo
60,Andy Williams,48,1961,M,Solo
61,Wham!,3,1983,M,Group
62,The Ronettes,4,1962,F,Group
63,Gene Autry,23,1929,M,Solo
64,Jose Feliciano,74,1965,M,Solo
65,Perry Como,37,1958,M,Solo
66,Bing Crosby,66,1932,M,Solo
67,Elvis Presley,75,1956,M,Solo
68,Darlene Love,7,1963,F,Solo
69,Kelly Clarkson,8,2003,F,Solo
70,Chuck Berry,29,1957,M,Solo
71,Frank Sinatra,58,1946,M,Solo
72,Paul McCartney,43,1967,M,Solo
73,Kanye West,13,2004,M,Solo
74,Queen,28,1973,M,Group
75,Tiesto,56,1997,M,Solo
76,Calvin Harris,5,2007,M,Solo
77,Michael Jackson,16,1972,M,Solo
78,Steve Aoki,11,2007,M,Solo
79,Weezer,17,1994,M,Group
80,twenty one pilots,5,2009,M,Group
81,Avril Lavigne,3,2002,F,Solo
82,Mac Miller,8,2011,M,Solo
83,Wiz Khalifa,23,2006,M,Solo
84,Childish Gambino,6,2011,M,Solo
85,Kenny Chesney,20,1994,M,Solo
86,Ciara,9,2004,F,Solo
87,Backstreet Boys,10,1996,M,Solo
88,Janet,12,1982,F,Solo
89,Jason Mraz,10,2002,M,Solo
90,Keith Urban,13,1997,M,Solo
91,Demi Lovato,9,2008,F,Solo
92,Foster The People,3,2011,M,Group
93,David Lee Murphy,4,1994,M,Solo
94,Reik,8,2005,M,Group
95,Juicy J,10,2002,M,Solo
96,Kendrick Lamar,7,2010,M,Solo
97,Pitbull,15,2004,M,Solo
98,El Chombo,3,1998,M,Solo
99,Sugarland,7,2004,,Group
100,Gorillaz,9,2001,M,Group
101,Pusha T,7,2011,M,Solo
102,Jay Rock,4,2010,M,Solo
103,James Blake,4,2011,M,Solo
104,Jennifer Lopez,8,1999,F,Solo
105,Darius Rucker,7,2002,M,Solo
106,Kevin Gates,13,2009,M,Solo
107,Pharrell Williams,4,2006,M,Solo
108,Tank,8,2001,M,Solo
109,Justin Timberlake,6,2002,M,Solo
110,Portugal. The Man,9,2006,,Group
111,High Valley,5,2010,M,Group
112,Rihanna,16,2005,F,Solo
113,Luis Fonsi,17,1998,M,Solo
114,Miguel,4,2010,M,Solo
115,Janelle Monae,3,2008,F,Solo
116,Plies,20,2005,M,Solo
117,Easton Corbin,3,2010,M,Solo
118,Enrique Iglesias,14,1995,M,Solo
119,Big Sean,7,2011,M,Solo
120,Shakira,11,1995,F,Solo
121,Tim McGraw,19,1993,M,Solo
122,Faith Hill,10,1993,F,Solo
123,Coldplay,10,2000,M,Group
124,Wisin,4,2004,M,Solo
125,Billy Currington,6,2003,M,Solo
126,The Revivalists,4,2010,M,Group
127,David Guetta,15,2002,M,Solo
128,Major Lazer,10,2009,M,Solo
129,Jason Derulo,9,2010,M,Solo
130,Linkin Park,16,2000,M,Group
131,Rascal Flatts,13,2000,M,Group
132,Zac Brown Band,7,2008,M,Group
133,Trey Songz,14,2005,M,Solo
134,Josh Turner,8,2003,M,Solo
135,Brantley Gilbert,7,2009,M,Solo
136,Flo Rida,6,2008,M,Solo
137,Lana Del Rey,7,2011,F,Solo
138,Paramore,7,2005,,Group
139,Train,10,1998,,Group
140,Lauren Alaina,3,2011,F,Solo
141,Adele,3,2008,F,Solo
142,Miranda Lambert,6,2005,F,Solo
143,Rick Ross,10,2006,M,Solo
144,Little Big Town,8,2002,,Group
145,Brad Paisley,13,1999,M,Solo
146,John Legend,7,2003,M,Solo
147,Sia,12,2003,F,Solo
148,Fitz And The Tantrums,5,2010,,Group
149,Missy Elliott,7,1997,M,Solo
150,Granger Smith,10,1999,M,Solo
151,Andy Grammer,5,2011,M,Solo
152,Wale,14,2008,M,Solo
153,George Michael,6,1987,M,Solo
154,Britney Spears,9,1999,F,Solo
155,Leonard Cohen,26,1967,M,Solo
156,A Tribe Called Quest,5,1990,M,Group
157,DJ Drama,20,2006,M,Solo
158,Usher,8,1994,M,Solo
159,The Game,42,2003,M,Solo
160,Grace,6,2003,F,Solo
161,OneRepublic,7,2007,M,Group
162,Now,4,2010,,Solo
163,Solange,5,2003,F,Solo
164,Mike Posner,9,2009,M,Solo
165,Fat Joe,13,1993,M,Solo
166,Remy Ma,5,2006,F,Solo
167,Ben Rector,7,2010,M,Solo
168,David Nail,6,2009,M,Solo
169,Blink,12,1994,M,Group
170,Carlos Vives,15,1993,M,Solo
171,Jeremih,5,2009,M,Solo
172,Disturbed,10,2000,M,Group
173,Red Hot Chili Peppers,11,1984,M,Group
174,Alisan Porter,4,2009,F,Solo
175,Prince And The Revolution,49,1978,M,Group
176,Prince,8,2010,M,Solo
177,Rachel Platten,3,2011,F,Solo
178,Gwen Stefani,5,2004,F,Solo
179,Randy Houser,5,2008,M,Solo
180,Empire Of The Sun,3,2008,,Group
181,Fall Out Boy,12,2003,M,Group
182,Nelly,9,2000,M,Solo
183,Curren$Y,28,2009,M,Solo
184,David Bowie,26,1967,M,Solo
185,PSY,4,2005,M,Solo
186,Adam Lambert,5,2009,M,Solo
187,Omarion,5,2005,M,Solo
188,T-Pain,8,2005,M,Solo
189,Prince Royce,8,2010,M,Solo
190,Carly Rae Jepsen,6,2008,F,Solo
191,Tech N9Ne,21,1999,M,Solo
192,NEEDTOBREATHE,9,2006,M,Group
193,Jessie J,4,2010,F,Solo
194,Shaggy,17,1993,M,Solo
195,Hilary Duff,8,2002,F,Solo
196,Mumford and Sons,10,2009,M,Group
197,Ne-Yo,9,2006,M,Solo
198,Jamie Foxx,4,2005,M,Solo
199,Ludacris,8,2000,M,Solo
200,Breaking Benjamin,8,2002,M,Group
201,Action Bronson,5,2011,M,Solo
202,James Newton Howard,27,1993,M,Solo
203,B.o.B,20,2009,M,Solo
204,Common,13,1992,M,Solo
205,Kid Rock,10,1990,M,Solo
206,Florence + The Machine,9,2009,,Group
207,Annie Lennox,8,1992,F,Solo
208,Colbie Caillat,13,2007,F,Solo
209,Nico,10,1967,M,Solo
210,T.I.,22,2001,M,Solo
211,Damien Rice,6,2003,M,Solo
212,The White Buffalo,6,2006,M,Solo
213,Big,7,2011,M,Solo
214,The Script,5,2008,M,Group
215,OK Go,7,2002,,Group
216,Glen Campbell,56,1962,M,Solo
217,Lil Jon,3,1999,M,Solo
218,Jeezy,29,2005,M,Solo
219,Joe Nichols,11,2002,M,Solo
220,Chris Lake,3,2009,M,Solo
221,KONGOS,6,2007,,Group
222,Ingrid Michaelson,8,2007,F,Solo
223,Jack,11,2001,,
224,"""Weird Al"" Yankovic",14,1983,M,Solo
225,Idina Menzel,10,1998,F,Solo
226,George Strait,43,1981,M,Solo
227,The Band Perry,3,2010,,Group
228,Busta Rhymes,20,1996,M,Solo
229,Craig Campbell,3,2011,M,Solo
230,Afrojack,6,2010,M,Solo
231,Robin Thicke,11,2002,M,Solo
232,Christina Perri,3,2011,F,Solo
233,Neon Trees,5,2010,,Group
234,Sara Bareilles,9,2004,F,Solo
235,Passenger,14,2007,M,Solo
236,Jerrod Niemann,5,2010,M,Solo
237,The Black Keys,11,2002,M,Group
238,Craig Morgan,8,2000,M,Solo
239,Aloe Blacc,6,2005,M,Solo
240,Hunter Hayes,5,2011,M,Solo
241,Christina Aguilera,9,1999,F,Solo
242,Arctic Monkeys,6,2006,M,Group
243,Sara Evans,10,1997,F,Solo
244,Cash Cash,91,1957,M,Solo
245,Thompson Square,4,2007,,Group
246,AWOLNATION,6,2011,M,Group
247,U2,17,1980,M,Group
248,Daughtry,5,2006,M,Solo
249,The Fray,5,2005,M,Group
250,Lupe Fiasco,8,2006,M,Solo
251,Dave Days,4,2009,M,Solo
252,Tessanne Chin,3,2010,F,Solo
253,R. Kelly,18,1992,M,Solo
254,Tamar Braxton,5,2000,F,Solo
255,Enya,11,1987,F,Solo
256,Bon Jovi,21,1984,M,Solo
257,Daft Punk,14,1997,,Group
258,Tegan And Sara,12,1999,F,Group
259,Gavin DeGraw,9,2003,M,Solo
260,Pearl Jam,13,1991,M,Group
261,Glee Cast,26,2009,,Group
262,Armin van Buuren,25,1999,M,Solo
263,Sheryl Crow,16,1993,F,Solo
264,MIKA,12,2006,M,Solo
265,Arcade Fire,6,2004,,Group
266,Marc Anthony,21,1991,M,Solo
267,Avenged Sevenfold,8,2002,M,Group
268,Rocko,13,2006,M,Solo
269,Sean Kingston,3,2007,M,Solo
270,The Wanted,3,2010,M,Group
271,Fantasia,8,2004,F,Solo
272,Ace Hood,26,2008,M,Solo
273,Jack Johnson,11,2001,M,Solo
274,Fabolous,15,2001,M,Solo
275,Gloriana,3,2009,,Group
276,Olly Murs,7,2010,M,Solo
277,Kelly Rowland,7,2002,F,Solo
278,Q-Tip,7,2011,M,Solo
279,will.i.am,3,2001,M,Solo
280,Guy Sebastian,10,2003,M,Solo
281,Ray J,9,1997,M,Solo
282,Of Monsters And Men,4,2011,,Group
283,WE the Kings,10,2007,M,Group
284,Muse,10,1999,M,Group
285,Alicia Keys,6,2001,F,Solo
286,Britt Nicole,4,2007,F,Solo
287,Michael Buble,12,2003,M,Solo
288,Gotye,4,2003,,Group
289,Gary Allan,10,1996,M,Solo
290,Joe Budden,18,2003,M,Solo
291,Chris Cagle,5,2000,M,Solo
292,The Lonely Island,6,2009,M,Group
293,Passion Pit,5,2008,M,Group
294,Alex Clare,4,2011,M,Solo
295,Game,42,2003,M,Solo
296,Lifehouse,8,2000,M,Group
297,Kid Cudi,9,2009,M,Solo
298,50 Cent,14,2003,M,Solo
299,Owl City,7,2007,,Group
300,The Nocturnals,5,2005,,Group
301,Brandy,10,1994,F,Solo
302,matchbox twenty,4,1996,M,Group
303,Love And Theft,3,2009,M,Group
304,Keyshia Cole,11,2005,F,Solo
305,Green Day,18,1991,M,Group
306,Grouplove,4,2011,,Group
307,No Doubt,6,1992,,Group
308,NERO,3,2011,,Group
309,Gym Class Heroes,4,2005,M,Group
310,Slaughterhouse,3,2009,M,Group
311,Toby Keith,20,1995,M,Solo
312,The Killers,8,2004,M,Group
313,M83.,10,2001,,Group
314,Dave Matthews Band,48,1993,M,Group
315,Kirko Bangz,8,2010,M,Solo
316,Travis Porter,5,2011,M,Solo
317,Big Time Rush,4,2010,M,Group
318,Michel Telo,13,2009,M,Solo
319,LMFAO,5,2009,M,Group
320,Waka Flocka Flame,45,2010,M,Solo
321,Jay Sean,7,2004,M,Solo
322,Snoop Dogg,34,1993,M,Solo
323,Tony Lucca,7,2006,M,Solo
324,Jennifer Hudson,3,2008,F,Solo
325,Montgomery Gentry,11,1999,M,Group
326,Shinedown,8,2003,M,Group
327,Sean Paul,10,2000,M,Solo
328,Madonna,25,1983,F,Solo
329,Mary J. Blige,21,1992,F,Solo
330,Breathe Carolina,5,2008,M,Group
331,The Scene,4,2009,,Group
332,Young The Giant,5,2010,M,Group
333,Estelle,4,1980,F,Solo
334,Whitney Houston,11,1985,F,Solo
335,Martina McBride,15,1992,F,Solo
336,deadmau5,21,2006,M,Solo
337,Van Halen,8,1978,M,Group
338,Snow Patrol,11,1998,M,Group
339,Nickelback,10,1996,M,Group
340,3OH!3,6,2007,M,Group
341,V.I.C.,4,2008,M,Solo
342,Roscoe Dash,8,2010,M,Solo
343,Alexandra Stan,11,2005,F,Solo
344,Mana,18,1990,M,Group
345,Matt Nathanson,11,1993,M,Solo
346,Rodney Atkins,5,2003,M,Solo
347,New Boyz,4,2009,M,Group
348,Mindless Behavior,3,2011,M,Group
349,Bow Wow,10,2000,M,Solo
350,Kaskade,25,2003,M,Solo
351,Lloyd,7,2004,M,Solo
352,Trace Adkins,14,1996,M,Solo
353,Evanescence,7,2003,,Group
354,Taio Cruz,4,2008,M,Solo
355,Steve Holy,3,2000,M,Solo
356,Foo Fighters,9,1995,M,Group
357,Birdman,10,2004,M,Solo
358,The Black Eyed Peas,9,1998,,Group
359,Hugh Laurie,4,1988,M,Solo
360,Tony Bennett,68,1952,M,Solo
361,Amy Winehouse,6,2003,F,Solo
362,Pistol Annies,3,2011,F,Group
363,Tinie Tempah,4,2010,M,Solo
364,Martin Solveig,16,2000,M,Solo
365,Dragonette,9,2007,,Group
366,Mat Kearney,5,2006,M,Solo
367,Kirk Franklin,14,1993,M,Solo
368,Marsha Ambrosius,3,2011,F,Solo
369,Seether,11,2002,M,Group
370,Don Omar,9,2003,M,Solo
371,Jill Scott,25,2000,F,Solo
372,Shania Twain,7,1993,F,Solo
373,My Chemical Romance,7,2002,M,Group
374,Jordin Sparks,3,2007,F,Solo
375,Diddy,7,1997,M,Solo
376,Thirty Seconds To Mars,6,2002,M,Group
377,Akon,7,2004,M,Solo
378,Keri Hilson,3,2009,F,Solo
379,Edward Maya,7,2009,M,Solo
380,Far*East Movement,5,2009,M,Group
381,Josh Kelley,10,2003,M,Solo
382,Mary Mary,21,1992,F,Group
383,Amiee Mann,11,1993,F,Solo
384,Sunny Sweeney,4,2006,F,Solo
385,Cage The Elephant,7,2008,M,Group
386,Gorilla Zoe,40,2007,M,Solo
387,Sick Puppies,6,2001,,Group
388,Aaron Lewis,4,2011,M,Solo
389,Twista,18,1997,M,Solo
390,Plain White T's,7,2005,M,Group
391,3 Doors Down,8,2000,M,Group
392,Yolanda Be Cool,8,2010,M,Group
393,Dcup,6,2010,M,Solo
394,Rise Against,11,2004,M,Group
395,James Blunt,8,2004,M,Solo
396,Yellowcard,12,1999,M,Group
397,Reba McEntire,40,1977,F,Solo
398,The Ready Set,5,2009,M,Solo
399,Jesse McCartney,7,2004,M,Solo
400,Natasha Bedingfield,11,2004,F,Solo
401,Jazmine Sullivan,3,2008,F,Solo
402,Monica,9,1995,F,Solo
403,Kings Of Leon,5,2003,M,Group
404,Hannah Montana,8,2006,F,Solo
405,Josh Thompson,3,2010,M,Solo
406,Cali Swag District,4,2011,M,Group
407,A Rocket To The Moon,3,2006,M,Group
408,Soulja Boy,29,2007,M,Solo
409,Uncle Kracker,8,2000,M,Solo
410,Gyptian,7,2006,M,Solo
411,Chris Willis,7,2006,M,Solo
412,La Roux,3,2009,,Group
413,Shontelle,4,2008,F,Solo
414,Rob Thomas,6,2005,M,Solo
415,Soundgarden,11,1989,M,Group
416,Asher Roth,4,2009,M,Solo
417,Clay Walker,11,1993,M,Solo
418,Timbaland,5,2007,M,Solo
419,V V Brown,4,2009,F,Solo
420,Jaheim,8,2001,M,Solo
421,Lloyd Banks,10,2003,M,Solo
422,Lee DeWyze,6,2007,M,Solo
423,Crystal Bowersox,4,2010,F,Solo
424,Will Young,11,2002,M,Solo
425,Charice,4,2010,M,Solo
426,Erykah Badu,9,1997,F,Solo
427,Kris Allen,6,2009,M,Solo
428,Spose,9,2008,M,Solo
429,Maxwell,7,1996,M,Solo
430,Theory Of A Deadman,6,2002,M,Group
431,Alpha Rev,4,2008,M,Group
432,Orianthi,3,2009,F,Solo
433,Matisyahu,13,2004,M,Solo
434,Melanie Fiona,4,2009,F,Solo
435,Sade,8,1984,F,Solo
436,Phoenix,7,2000,,Group
437,Boys Like Girls,3,2006,M,Group
438,Mario,5,2002,M,Solo
439,Danny Gokey,6,2010,M,Solo
440,Creed,4,1997,M,Group
441,Kellie Pickler,4,2006,F,Solo
442,k.d. lang,12,1987,F,Solo
443,Cascada,22,2006,F,Solo
444,Andrea Bocelli,54,1994,M,Solo
445,Shiny Toy Guns,4,2006,,Group
446,Jason Michael Carroll,4,2007,M,Solo
447,Three Days Grace,6,2003,M,Group
448,Cobra Starship,4,2006,,Group
449,Michael Franti,11,1994,M,Solo
450,Spearhead,11,1994,M,Solo
451,Leona Lewis,7,2007,F,Solo
452,Susan Boyle,8,2009,F,Solo
453,Francesca Battistelli,6,2008,F,Solo
454,Anya Marina,5,2005,F,Solo
455,Pleasure P,3,2009,M,Solo
456,Chamillionaire,21,2004,M,Solo
457,Wonder Girls,4,2010,F,Group
458,Five For Fighting,9,1997,M,Solo
459,Dorrough,7,2009,M,Solo
460,Darryl Worley,8,2000,M,Solo
461,Alice In Chains,8,1990,M,Group
462,The All,6,2002,,Group
463,The All-American Rejects,3,2008,M,Group
464,Ginuwine,10,1996,M,Solo
465,Jack Ingram,16,1993,M,Solo
466,Parachute,5,2009,,Group
467,Three 6 Mafia,20,1995,,Group
468,Skillet,14,1996,,Group
469,Jessie James Decker,4,2009,F,Solo
470,Matt And Kim,5,2009,,Group
471,The Ting Tings,7,2007,,Group
472,Kristinia DeBarge,3,2009,F,Solo
473,Michelle Branch,6,2000,F,Solo
474,Beastie Boys,9,1986,M,Group
475,Maino,14,2008,M,Solo
476,Alan Jackson,31,1989,M,Solo
477,Soulja Boy Tell 'em,29,2007,M,Solo
478,The Veronicas,8,2005,F,Group
479,Madcon,10,2004,M,Group
480,Musiq Soulchild,11,2000,M,Solo
481,Yung L.A.,10,2009,M,Solo
482,Paula Abdul,4,1988,F,Solo
483,Chrisette Michele,6,2007,F,Solo
484,Mike Jones,8,2005,M,Solo
485,Charlie Wilson,7,1992,M,Solo
486,Lily Allen,4,2006,F,Solo
487,Billy Ray Cyrus,18,1992,M,Solo
488,Stellar Kart,6,2005,M,Group
489,Silversun Pickups,6,2005,,Group
490,Ashley Tisdale,3,2007,F,Solo
491,MGMT,5,2007,M,Group
492,Papa Roach,11,2000,M,Group
493,Brooks & Dunn,14,1991,M,Group
494,Bobby V,8,2005,M,Solo
495,Lee Ann Womack,10,1997,F,Solo
496,Framing Hanley,6,2007,M,Group
497,Brooke White,6,2006,F,Solo
498,Jim Jones,26,2004,M,Solo
499,Ron Browz,14,2010,M,Solo
500,The Offspring,10,1989,M,Group
501,Bruce Springsteen,29,1973,M,Solo
502,Saving Abel,4,2008,M,Group
503,Pat Green,12,1995,M,Solo
504,Apocalyptica,13,1996,,Group
505,David Archuleta,9,2008,M,Solo
506,O.A.R.,15,1997,M,Group
507,Metro Station,3,2007,M,Group
508,Hinder,6,2005,M,Group
509,Avant,8,2000,M,Solo
510,Secondhand Serenade,5,2007,,Group
511,M.I.A.,7,2005,F,Solo
512,Guns N' Roses,6,1987,M,Group
513,Jimmy Wayne,6,2003,M,Solo
514,Bucky Covington,3,2007,M,Solo
